arch;seed;val_score;test_score
const,max,relu6,8,32,cos,mean,relu,4;10.0;0.448;0.4370000000000001
const,max,relu6,8,64,generalized_linear,max,relu6,1;10.0;0.594;0.58
const,max,relu6,8,8,gcn,mlp,leaky_relu,8;10.0;0.326;0.35
const,max,sigmoid,1,128,gat,max,leaky_relu,6;10.0;0.246;0.233
const,max,sigmoid,1,128,gat_sym,mean,linear,1;42.0;0.258;0.278
const,max,sigmoid,1,256,generalized_linear,mlp,leaky_relu,16;79.0;0.304;0.279
const,max,sigmoid,1,32,linear,mean,sigmoid,4;79.0;0.268;0.279
const,max,sigmoid,1,4,generalized_linear,max,relu6,16;79.0;0.222;0.243
const,max,sigmoid,1,8,const,mean,elu,2;123.0;0.232;0.181
const,max,sigmoid,1,8,const,sum,leaky_relu,6;10.0;0.41;0.409
const,max,sigmoid,1,8,cos,mlp,softplus,8;42.0;0.317;0.3325
const,max,sigmoid,16,128,cos,mlp,elu,6;19.0;0.258;0.282
const,max,sigmoid,16,16,const,sum,elu,6;42.0;0.232;0.181
const,max,sigmoid,16,16,const,sum,tanh,1;42.0;0.232;0.228
const,max,sigmoid,16,32,generalized_linear,mean,relu6,6;123.0;0.14800000000000002;0.274
const,max,sigmoid,16,8,linear,sum,elu,2;79.0;0.232;0.182
const,max,sigmoid,16,8,linear,sum,softplus,2;79.0;0.6859999999999999;0.6859999999999999
const,max,sigmoid,2,16,cos,mlp,relu,2;123.0;0.16399999999999998;0.189
const,max,sigmoid,2,256,const,sum,elu,8;79.0;0.212;0.231
const,max,sigmoid,2,256,const,sum,linear,1;123.0;0.672;0.688
const,max,sigmoid,2,256,cos,mlp,tanh,6;79.0;0.284;0.274
const,max,sigmoid,2,256,generalized_linear,mlp,relu6,6;19.0;0.14400000000000002;0.274
const,max,sigmoid,2,4,gcn,mean,leaky_relu,2;123.0;0.278;0.277
const,max,sigmoid,2,64,generalized_linear,sum,elu,4;79.0;0.232;0.201
const,max,sigmoid,4,16,const,mlp,relu,2;42.0;0.232;0.181
const,max,sigmoid,4,16,gat_sym,sum,linear,6;42.0;0.5539999999999999;0.552
const,max,sigmoid,4,16,generalized_linear,max,leaky_relu,4;79.0;0.266;0.265
const,max,sigmoid,4,256,const,sum,softplus,6;79.0;0.23;0.182
const,max,sigmoid,4,256,gat,mlp,elu,1;10.0;0.242;0.271
const,max,sigmoid,4,32,generalized_linear,mlp,softplus,6;79.0;0.252;0.269
const,max,sigmoid,4,64,linear,mean,leaky_relu,2;79.0;0.212;0.231
const,max,sigmoid,4,8,const,mlp,relu6,4;10.0;0.058;0.231
const,max,sigmoid,6,256,gat,sum,sigmoid,16;42.0;0.232;0.182
const,max,sigmoid,6,32,const,mlp,relu6,16;42.0;0.212;0.231
const,max,sigmoid,6,4,gat_sym,mlp,softplus,6;123.0;0.446;0.422
const,max,sigmoid,6,8,gat_sym,max,elu,8;19.0;0.212;0.249
const,max,sigmoid,8,128,const,sum,leaky_relu,4;123.0;0.232;0.182
const,max,sigmoid,8,16,const,mlp,relu,6;42.0;0.232;0.181
const,max,sigmoid,8,16,gat_sym,mean,linear,6;10.0;0.268;0.278
const,max,sigmoid,8,64,gat,max,leaky_relu,4;19.0;0.226;0.293
const,max,sigmoid,8,8,gat,sum,elu,8;10.0;0.624;0.633
const,max,sigmoid,8,8,gat,sum,tanh,6;42.0;0.62;0.635
const,max,sigmoid,8,8,gcn,mean,softplus,8;79.0;0.262;0.243
const,max,softplus,1,16,gat_sym,sum,elu,8;79.0;0.384;0.35200000000000004
const,max,softplus,1,16,gcn,mlp,relu,8;123.0;0.184;0.193
const,max,softplus,1,256,generalized_linear,mlp,relu6,2;123.0;0.188;0.16899999999999998
const,max,softplus,1,4,gat_sym,sum,tanh,6;123.0;0.17;0.271
const,max,softplus,1,64,linear,mlp,relu6,2;123.0;0.24;0.21
const,max,softplus,1,64,linear,sum,linear,6;79.0;0.5479999999999999;0.603
const,max,softplus,1,8,const,max,linear,6;79.0;0.212;0.231
const,max,softplus,1,8,gat,max,sigmoid,2;123.0;0.208;0.243
const,max,softplus,16,16,gat_sym,sum,linear,1;79.0;0.652;0.708
const,max,softplus,16,256,const,mean,sigmoid,4;10.0;0.188;0.182
const,max,softplus,16,256,cos,sum,linear,1;19.0;0.66;0.657
const,max,softplus,16,4,gcn,mean,relu6,16;123.0;0.14;0.161
const,max,softplus,16,4,linear,mlp,linear,4;79.0;0.606;0.614
const,max,softplus,16,8,const,mlp,sigmoid,8;79.0;0.232;0.181
