arch;seed;val_score;test_score
const,max,linear,6,64,cos,sum,elu,8;19.0;0.778;0.8009999999999999
const,max,linear,6,64,cos,sum,leaky_relu,16;42.0;0.778;0.7829999999999999
const,max,linear,6,64,gat_sym,mean,softplus,1;10.0;0.7020000000000001;0.745
const,max,linear,6,64,linear,sum,relu,2;19.0;0.7859999999999999;0.8029999999999999
const,max,linear,6,8,cos,sum,leaky_relu,16;42.0;0.766;0.7736666666666667
const,max,linear,6,8,cos,sum,softplus,16;42.0;0.772;0.7809999999999999
const,max,linear,6,8,gat_sym,sum,linear,8;79.0;0.762;0.787
const,max,linear,6,8,linear,max,linear,1;10.0;0.752;0.775
const,max,linear,8,128,const,mean,leaky_relu,1;79.0;0.76;0.7909999999999999
const,max,linear,8,128,cos,mean,leaky_relu,4;123.0;0.728;0.76
const,max,linear,8,128,gat_sym,sum,softplus,1;123.0;0.762;0.813
const,max,linear,8,128,linear,sum,softplus,4;19.0;0.7759999999999999;0.802
const,max,linear,8,16,generalized_linear,sum,softplus,16;19.0;0.757;0.809
const,max,linear,8,16,generalized_linear,sum,softplus,2;19.0;0.774;0.7895000000000001
const,max,linear,8,16,generalized_linear,sum,softplus,6;19.0;0.758;0.8009999999999999
const,max,linear,8,16,linear,sum,softplus,16;19.0;0.79;0.805
const,max,linear,8,16,linear,sum,softplus,2;19.0;0.76;0.796
const,max,linear,8,256,const,mlp,elu,16;42.0;0.6579999999999999;0.6459999999999999
const,max,linear,8,256,cos,mean,sigmoid,6;42.0;0.23199999999999998;0.27749999999999997
const,max,linear,8,256,gat_sym,max,linear,1;10.0;0.739;0.7525
const,max,linear,8,32,cos,max,softplus,4;19.0;0.708;0.6920000000000001
const,max,linear,8,32,linear,sum,tanh,2;42.0;0.79;0.8240000000000001
const,max,linear,8,4,gcn,mean,relu,2;42.0;0.142;0.133
const,max,linear,8,4,generalized_linear,mean,leaky_relu,4;79.0;0.162;0.149
const,max,linear,8,4,linear,sum,softplus,8;19.0;0.762;0.779
const,max,linear,8,64,const,sum,leaky_relu,4;19.0;0.762;0.76
const,max,linear,8,64,const,sum,linear,1;19.0;0.79;0.809
const,max,linear,8,64,gat,max,linear,2;42.0;0.71;0.725
const,max,linear,8,64,gcn,sum,linear,16;19.0;0.7979999999999999;0.7959999999999999
const,max,relu,1,128,const,sum,softplus,2;42.0;0.768;0.7929999999999999
const,max,relu,1,128,gat,sum,softplus,2;42.0;0.77;0.787
const,max,relu,1,128,gat_sym,mean,sigmoid,16;10.0;0.162;0.149
const,max,relu,1,128,linear,mean,leaky_relu,4;79.0;0.426;0.482
const,max,relu,1,128,linear,sum,sigmoid,6;123.0;0.408;0.54
const,max,relu,1,16,cos,mlp,relu,4;123.0;0.302;0.377
const,max,relu,1,256,const,sum,linear,6;10.0;0.78;0.8
const,max,relu,1,256,linear,mean,sigmoid,1;123.0;0.188;0.21600000000000005
const,max,relu,1,32,const,mlp,leaky_relu,2;79.0;0.644;0.649
const,max,relu,1,32,const,sum,elu,1;10.0;0.7659999999999999;0.797
const,max,relu,1,4,cos,mean,linear,4;42.0;0.114;0.13
const,max,relu,1,4,gat,sum,elu,2;123.0;0.35600000000000004;0.438
const,max,relu,1,4,gat_sym,sum,tanh,2;123.0;0.388;0.422
const,max,relu,1,64,generalized_linear,sum,elu,1;123.0;0.7979999999999999;0.821
const,max,relu,1,64,linear,mean,elu,1;123.0;0.736;0.7390000000000001
const,max,relu,1,8,linear,max,sigmoid,6;123.0;0.316;0.319
const,max,relu,16,128,const,sum,elu,4;10.0;0.7879999999999999;0.7859999999999999
const,max,relu,16,128,const,sum,relu6,16;19.0;0.568;0.662
const,max,relu,16,128,gat,sum,relu,16;10.0;0.765;0.7765
const,max,relu,16,128,gat_sym,mlp,relu,1;79.0;0.7440000000000001;0.703
const,max,relu,16,128,gat_sym,sum,relu,1;42.0;0.74;0.77
const,max,relu,16,128,linear,mlp,linear,4;10.0;0.764;0.79
const,max,relu,16,16,const,max,relu6,4;79.0;0.746;0.768
const,max,relu,16,256,const,sum,elu,16;79.0;0.749;0.792
const,max,relu,16,256,cos,sum,elu,1;79.0;0.77;0.802
const,max,relu,16,256,gat,mean,sigmoid,1;79.0;0.202;0.321
const,max,relu,16,256,generalized_linear,mean,relu6,2;42.0;0.604;0.628
const,max,relu,16,32,const,mlp,leaky_relu,8;19.0;0.742;0.759
const,max,relu,16,32,gat_sym,mlp,tanh,2;19.0;0.782;0.7929999999999999
const,max,relu,16,32,gcn,mean,tanh,6;79.0;0.388;0.421
const,max,relu,16,32,generalized_linear,sum,relu,1;123.0;0.6759999999999999;0.7170000000000001
const,max,relu,16,4,gat,sum,relu,16;42.0;0.793;0.7969999999999999
const,max,relu,16,64,const,mlp,elu,16;10.0;0.628;0.591
const,max,relu,16,64,generalized_linear,max,tanh,1;42.0;0.728;0.767
const,max,relu,16,8,gat,sum,softplus,16;42.0;0.783;0.8005
const,max,relu,2,128,cos,max,leaky_relu,6;79.0;0.316;0.319
const,max,relu,2,128,linear,mean,sigmoid,1;123.0;0.18600000000000005;0.249
const,max,relu,2,128,linear,mean,sigmoid,6;10.0;0.316;0.319
const,max,relu,2,128,linear,sum,sigmoid,6;123.0;0.7809999999999999;0.8055
const,max,relu,2,16,gcn,sum,elu,1;123.0;0.79;0.8079999999999999
const,max,relu,2,256,generalized_linear,mlp,relu,4;10.0;0.6940000000000001;0.7240000000000001
const,max,relu,2,32,linear,max,sigmoid,1;42.0;0.37;0.416
const,max,relu,2,4,gat_sym,mean,relu6,2;42.0;0.386;0.395
const,max,relu,2,4,gcn,mean,tanh,1;79.0;0.422;0.455
const,max,relu,2,4,generalized_linear,sum,relu6,16;123.0;0.382;0.386
const,max,relu,2,64,const,mean,elu,16;123.0;0.642;0.642
