arch;seed;val_score;test_score
const,max,linear,8,256,cos,mean,sigmoid,6;42.0;0.334;0.435
const,max,linear,8,256,gat,max,sigmoid,6;123.0;0.416;0.407
const,max,linear,8,256,gat_sym,max,linear,1;10.0;0.734;0.72425
const,max,linear,8,256,gat_sym,sum,linear,1;10.0;0.754;0.732
const,max,linear,8,256,gat_sym,sum,linear,8;10.0;0.7559999999999999;0.755
const,max,linear,8,256,linear,sum,sigmoid,16;19.0;0.7879999999999999;0.767
const,max,linear,8,32,const,sum,linear,2;79.0;0.7559999999999999;0.7509999999999999
const,max,linear,8,32,gat,sum,linear,16;79.0;0.736;0.72
const,max,linear,8,32,linear,mlp,linear,6;42.0;0.626;0.64
const,max,linear,8,4,gat,sum,linear,1;19.0;0.784;0.78
const,max,linear,8,64,gcn,sum,softplus,4;19.0;0.76;0.731
const,max,linear,8,8,gat_sym,sum,sigmoid,4;19.0;0.7859999999999999;0.778
const,max,linear,8,8,linear,sum,tanh,6;10.0;0.792;0.778
const,max,relu,1,128,const,mlp,leaky_relu,8;42.0;0.616;0.63
const,max,relu,1,128,gat,sum,softplus,2;42.0;0.77;0.738
const,max,relu,1,16,gat_sym,mean,relu6,8;10.0;0.376;0.413
const,max,relu,1,32,const,mlp,leaky_relu,2;79.0;0.866;0.858
const,max,relu,1,4,gat_sym,sum,tanh,2;123.0;0.6559999999999999;0.6559999999999999
const,max,relu,1,64,linear,max,leaky_relu,16;42.0;0.388;0.413
const,max,relu,1,8,linear,max,relu,6;19.0;0.388;0.413
const,max,relu,16,128,const,sum,relu6,16;19.0;0.8340000000000001;0.8740000000000001
const,max,relu,16,128,gat,sum,relu,16;10.0;0.7659999999999999;0.747
const,max,relu,16,256,const,sum,elu,16;79.0;0.0;0.0
const,max,relu,16,256,cos,max,relu6,8;79.0;0.0;0.0
const,max,relu,16,256,gat_sym,mlp,tanh,6;19.0;0.0;0.0
const,max,relu,16,32,gat_sym,mlp,tanh,2;19.0;0.88;0.88
const,max,relu,16,32,gcn,mean,tanh,6;79.0;0.402;0.448
const,max,relu,16,32,gcn,sum,sigmoid,2;123.0;0.794;0.7759999999999999
const,max,relu,16,32,linear,sum,linear,6;42.0;0.784;0.759
